seat,probD_lite,probD_classic,probD_deluxe,probD_lite_minus_deluxe
OH,0.7,0.44,0.25,-0.45
PA,0.9,0.8,0.67,-0.23
NC,0.56,0.5,0.35,-0.21
AZ,0.91,0.83,0.71,-0.2
GA,0.65,0.57,0.5,-0.15
IA,0.16,0.06,0.03,-0.13
AK,0.15,0.05,0.05,-0.1
FL,0.19,0.11,0.09,-0.1
MO,0.12,0.06,0.02,-0.1
UT,0.08,0.02,0.02,-0.06
NV,0.63,0.65,0.57,-0.06
IN,0.02,0.0,0.0,-0.02
KY,0.02,0.0,0.0,-0.02
AL,0.02,0.0,0.0,-0.02
WI,0.34,0.37,0.32,-0.02
SC,0.02,0.0,0.0,-0.02
OK,0.01,0.0,0.0,-0.01
LA,0.03,0.02,0.02,-0.01
KS,0.01,0.01,0.0,-0.01
SD,0.01,0.0,0.0,-0.01
AR,0.0,0.0,0.0,0.0
WA,0.97,0.96,0.97,0.0
ND,0.0,0.0,0.0,0.0
MD,1.0,1.0,1.0,0.0
OR,0.98,0.98,0.98,0.0
OK,0.0,0.0,0.0,0.0
NY,1.0,1.0,1.0,0.0
ID,0.0,0.0,0.0,0.0
HI,0.99,1.0,1.0,0.01
VT,0.97,1.0,1.0,0.03
CT,0.95,0.98,0.98,0.03
CA,0.96,1.0,1.0,0.04
NH,0.72,0.78,0.76,0.04
IL,0.91,0.94,0.97,0.06
CO,0.84,0.89,0.9,0.06
