pollsterName,pollsterRating,sponsors,population,partisan,demPre,repPre,pollsPre,marginPre,demPost,repPost,pollsPost,marginPost,demChange,repChange,marginChange
Big Village,B,,a,,38.8,37.0,15,1.8,42.2,36.4,2,5.8,3.4,-0.6,4.0
Big Village,B,,rv,,44.2,42.4,15,1.8,47.2,41.3,2,5.9,3.0,-1.1,4.1
Cygnal,B+,,lv,,45.4,47.5,6,-2.1,47.2,46.5,1,0.7,1.8,-1.0,2.8
Echelon Insights,B/C,,lv,,46.0,45.4,5,0.6,48.0,44.0,1,4.0,2.0,-1.4,3.4
Echelon Insights,B/C,,rv,,46.3,43.6,7,2.7,50.0,42.0,1,8.0,3.7,-1.6,5.3
Emerson College,A-,,rv,,42.2,46.6,6,-4.4,43.6,44.6,1,-1.0,1.4,-2.0,3.4
Hart Research Associates/Public Opinion Strategies,B+,NBC News,rv,,46.5,46.0,2,0.5,45.0,47.0,1,-2.0,-1.5,1.0,-2.5
McLaughlin & Associates,C/D,,lv,,43.8,47.8,5,-4.0,45.0,45.0,1,0.0,1.2,-2.8,4.0
Morning Consult,B,Politico,rv,,43.2,42.0,30,1.2,46.7,42.0,3,4.7,3.5,0.0,3.5
NewsNation,Unrated,,rv,,40.7,42.5,7,-1.8,42.2,45.0,1,-2.8,1.5,2.5,-1.0
OnMessage,B/C,Senate Opportunity Fund,lv,REP,43.3,45.8,9,-2.5,43.0,47.0,1,-4.0,-0.3,1.2,-1.5
Quinnipiac University,A-,,a,,41.9,44.4,7,-2.5,46.0,42.0,1,4.0,4.1,-2.4,6.5
Quinnipiac University,A-,,rv,,43.0,45.6,7,-2.6,47.0,43.0,1,4.0,4.0,-2.6,6.6
Rasmussen Reports/Pulse Opinion Research,B,Miranda Devine's LAPTOP FROM HELL,lv,,39.8,47.7,14,-7.9,41.5,46.5,2,-5.0,1.7,-1.2,2.9
Trafalgar Group,A-,,lv,REP,40.4,50.4,4,-10.0,41.6,46.9,1,-5.3,1.2,-3.5,4.7
YouGov,B+,CBS News,lv,,43.0,45.0,1,-2.0,45.0,47.0,1,-2.0,2.0,2.0,0.0
YouGov,B+,Economist,rv,,43.0,40.5,31,2.5,45.1,38.3,3,6.8,2.1,-2.2,4.3
YouGov,B+,Yahoo News,a,,37.3,33.3,10,4.0,38.0,33.0,1,5.0,0.7,-0.3,1.0
YouGov,B+,Yahoo News,rv,,43.3,39.0,10,4.3,45.0,39.0,1,6.0,1.7,0.0,1.7
